Date,STN_144_PM10,STN_144_SO2,STN_144_NO2,STN_146_PM10,STN_146_SO2,STN_146_NO2,STN_345_PM10,STN_345_SO2,STN_345_NO2
2011-12-07,,,,,,,,,
2011-12-08,,,,,,,,,
2011-12-09,,,,,,,,,
2011-12-10,,,,126.0,2.0,78.0,253.0,11.0,73.0
2011-12-11,,,,,,,,,
2011-12-12,,,,,,,476.0,22.0,109.0
2011-12-13,,,,,,,,,
2011-12-14,,,,,,,,,
2011-12-15,,,,,,,,,
2011-12-16,296.0,14.0,138.0,,,,501.0,15.0,116.0
2011-12-17,344.0,19.0,140.0,,,,484.0,10.0,139.0
2011-12-18,507.0,15.0,128.0,,,,,,
2011-12-19,,,,,,,,,
2011-12-20,324.0,19.0,123.0,,,,,,
2011-12-21,384.0,25.0,134.0,,,,,,
2011-12-22,285.0,10.0,132.0,397.0,12.0,112.0,,,
2011-12-23,,,,397.0,21.0,112.0,,,
2011-12-24,,,,420.0,33.0,75.0,,,
2011-12-25,,,,,,,,,
2011-12-26,,,,,,,,,
2011-12-27,644.0,21.0,151.0,639.0,27.0,114.0,,,
2011-12-28,464.0,10.0,138.0,596.0,19.0,113.0,,,
2011-12-29,,,,,,,,,
2011-12-30,,,,,,,,,
2011-12-31,,,,,,,,,
2012-01-01,,,,,,,,,
2012-01-02,162.0,8.0,82.0,,,,289.0,8.0,77.0
2012-01-03,,,,283.0,30.0,113.0,302.0,35.0,117.0
2012-01-04,,,,,,,,,
2012-01-05,,,,,,,201.0,3.0,96.0
2012-01-06,,,,,,,,,
2012-01-07,,,,,,,,,
2012-01-08,,,,,,,,,
2012-01-09,,,,,,,,,
2012-01-10,,,,,,,,,
2012-01-11,,,,453.0,4.0,123.0,666.0,6.0,108.0
2012-01-12,,,,,,,,,
2012-01-13,,,,,,,,,
2012-01-14,296.0,7.0,99.0,,,,405.0,43.0,113.0
2012-01-15,169.0,8.0,101.0,,,,213.0,10.0,89.0
2012-01-16,161.0,2.0,92.0,,,,218.0,15.0,71.0
2012-01-17,,,,,,,,,
2012-01-18,,,,,,,,,
2012-01-19,,,,,,,378.0,21.0,98.0
2012-01-20,,,,,,,274.0,24.0,110.0
2012-01-21,,,,,,,265.0,29.0,85.0
2012-01-22,,,,,,,,,
2012-01-23,,,,,,,,,
2012-01-24,,,,,,,,,
2012-01-25,,,,,,,,,
2012-01-26,,,,,,,,,
2012-01-27,208.0,7.0,114.0,303.0,16.0,115.0,,,
2012-01-28,216.0,15.0,104.0,245.0,16.0,110.0,,,
2012-01-29,207.0,10.0,107.0,,,,,,
2012-01-30,,,,,,,,,
2012-01-31,,,,,,,,,
2012-02-01,,,,,,,,,
2012-02-02,247.0,14.0,93.0,,,,454.0,17.0,96.0
2012-02-02,247.0,14.0,93.0,,,,244.0,49.0,81.0
2012-02-03,,,,151.0,21.0,91.0,,,
2012-02-04,,,,,,,,,
2012-02-05,,,,378.0,4.0,123.0,194.0,6.0,94.0
2012-02-06,343.0,2.0,82.0,,,,,,
2012-02-07,,,,,,,,,
2012-02-08,61.0,2.0,50.0,142.0,2.0,57.0,,,
2012-02-09,,,,,,,,,
2012-02-10,,,,,,,,,
2012-02-11,,,,496.0,5.0,128.0,700.0,5.0,109.0
2012-02-12,,,,,,,,,
2012-02-13,,,,,,,,,
2012-02-14,90.0,14.0,84.0,,,,,,
2012-02-15,76.0,10.0,90.0,202.0,10.0,109.0,,,
2012-02-16,131.0,13.0,93.0,195.0,24.0,110.0,,,
2012-02-17,,,,233.0,16.0,101.0,,,
2012-02-18,,,,,,,,,
2012-02-19,,,,,,,,,
2012-02-20,,,,,,,,,
2012-02-21,,,,283.0,18.0,113.0,226.0,30.0,88.0
2012-02-22,,,,285.0,31.0,107.0,225.0,45.0,119.0
2012-02-23,,,,,,,,,
2012-02-24,,,,,,,,,
2012-02-25,108.0,10.0,48.0,,,,,,
2012-02-26,147.0,11.0,64.0,,,,,,
